graph_id,graph_label
10_19,0
11_0,13
11_1,0
11_2,2
11_3,10
11_4,9
11_5,10
11_6,13
11_7,11
11_8,11
11_9,6
11_10,6
11_11,7
11_12,7
11_13,6
11_14,4
11_15,0
11_16,3
11_17,1
11_18,1
11_19,0
12_0,16
12_1,9
12_2,16
12_3,14
12_4,6
12_5,14
12_6,9
12_7,5
12_8,1
12_9,0
12_10,7
12_11,8
12_12,5
12_13,1
12_14,2
12_15,3
12_16,0
12_17,0
12_18,0
12_19,0
13_0,0
13_1,15
13_2,2
13_3,11
13_4,12
13_5,11
13_6,4
13_7,7
13_8,6
13_9,2
13_10,4
13_11,4
13_12,2
13_13,0
13_14,0
13_15,2
13_16,2
13_17,0
13_18,1
13_19,0
14_0,10
14_1,0
14_2,8
14_3,7
14_4,0
14_5,2
14_6,7
14_7,0
14_8,4
14_9,4
14_10,3
14_11,1
14_12,0
14_13,1
14_14,3
14_15,4
14_16,0
14_17,2
14_18,1
14_19,0
15_0,11
15_1,14
15_2,14
15_3,12
15_4,1
15_5,1
15_6,2
15_7,10
15_8,8
15_9,1
15_10,5
15_11,4
15_12,0
15_13,1
15_14,2
15_15,1
15_16,1
15_17,1
15_18,0
15_19,0
16_0,19
16_1,4
16_2,6
16_3,5
16_4,2
16_5,12
16_6,4
16_7,8
16_8,4
16_9,5
16_10,6
16_11,4
16_12,4
16_13,4
16_14,2
16_15,1
16_16,3
16_17,2
16_18,1
16_19,0
17_0,19
17_1,6
17_2,6
17_3,12
17_4,12
17_5,14
17_6,13
17_7,8
17_8,2
17_9,6
17_10,1
17_11,1
17_12,0
17_13,4
17_14,2
17_15,1
17_16,2
17_17,1
17_18,0
17_19,0
18_0,10
18_1,10
18_2,12
18_3,12
18_4,13
18_5,12
18_6,1
18_7,10
18_8,1
18_9,10
18_10,5
18_11,7
18_12,3
18_13,4
18_14,3
18_15,1
18_16,3
18_17,1
18_18,1
18_19,0
19_0,16
19_1,5
19_2,8
19_3,9
19_4,8
19_5,6
19_6,0
19_7,1
19_8,0
19_9,2
19_10,9
19_11,8
19_12,2
19_13,4
19_14,1
19_15,0
19_16,1
19_17,0
19_18,1
19_19,0
20_0,8
20_1,8
20_2,5
20_3,1
20_4,10
20_5,13
20_6,11
20_7,7
20_8,9
20_9,1
20_10,9
20_11,7
20_12,5
20_13,1
20_14,0
20_15,1
20_16,1
20_17,1
20_18,0
20_19,0
21_0,12
21_1,2
21_2,0
21_3,1
21_4,15
21_5,14
21_6,12
21_7,12
21_8,8
21_9,5
21_10,4
21_11,1
21_12,3
21_13,3
21_14,1
21_15,1
21_16,0
21_17,1
21_18,0
21_19,0
22_0,1
22_1,0
22_2,8
22_3,7
22_4,12
22_5,12
22_6,6
22_7,4
22_8,6
22_9,6
22_10,5
22_11,7
22_12,4
22_13,4
22_14,5
22_15,2
22_16,0
22_17,2
22_18,0
22_19,0
23_0,0
23_1,3
23_2,5
23_3,3
23_4,0
23_5,3
23_6,6
23_7,4
23_8,5
23_9,2
23_10,2
23_11,2
23_12,3
23_13,5
23_14,2
23_15,2
23_16,3
23_17,2
23_18,1
23_19,0
24_0,12
24_1,1
24_2,16
24_3,9
24_4,9
24_5,9
24_6,9
24_7,6
24_8,7
24_9,1
24_10,7
24_11,8
24_12,7
24_13,0
24_14,3
24_15,4
24_16,3
24_17,1
24_18,1
24_19,0
25_0,9
25_1,6
25_2,5
25_3,2
25_4,2
25_5,0
25_6,0
25_7,3
25_8,9
25_9,8
25_10,4
25_11,3
25_12,3
25_13,3
25_14,4
25_15,0
25_16,0
25_17,1
25_18,1
25_19,0
26_0,11
26_1,0
26_2,10
26_3,10
26_4,12
26_5,10
26_6,10
26_7,8
26_8,10
26_9,8
26_10,9
26_11,8
26_12,7
26_13,1
26_14,0
26_15,1
26_16,1
26_17,1
26_18,1
26_19,0
27_0,5
27_1,6
27_2,4
27_3,1
27_4,8
27_5,7
27_6,13
27_7,12
27_8,11
27_9,10
27_10,8
27_11,5
27_12,2
27_13,4
27_14,0
27_15,2
27_16,3
27_17,0
27_18,0
27_19,0
28_0,17
28_1,18
28_2,9
28_3,6
28_4,4
28_5,6
28_6,0
28_7,10
28_8,4
28_9,8
28_10,1
28_11,7
28_12,1
28_13,0
28_14,3
28_15,1
28_16,0
28_17,0
28_18,0
28_19,0
29_0,3
29_1,2
29_2,0
29_3,5
29_4,4
29_5,10
29_6,10
29_7,0
29_8,7
29_9,9
29_10,7
29_11,8
29_12,5
29_13,4
29_14,5
29_15,0
29_16,0
29_17,1
29_18,1
29_19,0
30_0,1
30_1,14
30_2,9
30_3,7
30_4,4
30_5,11
30_6,13
30_7,1
30_8,5
30_9,9
30_10,9
30_11,3
30_12,5
30_13,0
30_14,2
30_15,2
30_16,2
30_17,0
30_18,0
30_19,0
31_0,19
31_1,18
31_2,10
31_3,10
31_4,0
31_5,9
31_6,13
31_7,1
31_8,10
31_9,4
31_10,8
31_11,2
31_12,6
31_13,1
31_14,3
31_15,3
31_16,1
31_17,0
31_18,1
31_19,0
32_0,2
32_1,15
32_2,15
32_3,0
32_4,3
32_5,12
32_6,10
32_7,10
32_8,11
32_9,9
32_10,8
32_11,7
32_12,7
32_13,0
32_14,5
32_15,0
32_16,2
32_17,0
32_18,1
32_19,0
33_0,11
33_1,6
33_2,14
33_3,6
33_4,1
33_5,14
33_6,13
33_7,1
33_8,9
33_9,8
33_10,6
33_11,4
33_12,4
33_13,2
33_14,3
33_15,3
33_16,1
33_17,2
33_18,1
33_19,0
34_0,4
34_1,12
34_2,15
34_3,15
34_4,14
34_5,2
34_6,13
34_7,10
34_8,8
34_9,1
34_10,9
34_11,7
34_12,1
34_13,5
34_14,1
34_15,1
34_16,3
34_17,1
34_18,1
34_19,0
35_0,0
35_1,18
35_2,16
35_3,16
35_4,8
35_5,6
35_6,6
35_7,6
35_8,10
35_9,7
35_10,7
35_11,8
35_12,6
35_13,6
35_14,0
35_15,0
35_16,0
35_17,0
35_18,0
35_19,0
36_0,15
36_1,14
36_2,16
36_3,2
36_4,11
36_5,3
36_6,11
36_7,12
36_8,11
36_9,0
36_10,1
36_11,7
36_12,3
36_13,6
36_14,1
36_15,0
36_16,0
36_17,2
36_18,0
36_19,0
37_0,0
37_1,12
37_2,1
37_3,2
37_4,11
37_5,0
37_6,2
37_7,6
37_8,7
37_9,4
37_10,8
37_11,6
37_12,0
37_13,0
37_14,3
37_15,1
37_16,1
37_17,0
37_18,0
37_19,0
38_0,14
38_1,17
38_2,8
38_3,1
38_4,9
38_5,6
38_6,4
38_7,10
38_8,5
38_9,6
38_10,9
38_11,8
38_12,7
38_13,0
38_14,0
38_15,0
38_16,3
38_17,0
38_18,1
38_19,0
39_0,3
39_1,2
39_2,14
39_3,12
39_4,12
39_5,13
39_6,9
39_7,8
39_8,0
39_9,0
39_10,5
39_11,6
39_12,5
39_13,3
39_14,3
39_15,4
39_16,1
39_17,1
39_18,1
39_19,0
40_0,3
40_1,15
40_2,3
40_3,9
40_4,8
40_5,13
40_6,11
40_7,6
40_8,8
40_9,10
40_10,8
40_11,6
40_12,6
40_13,3
40_14,0
40_15,2
40_16,2
40_17,2
40_18,1
40_19,0
41_0,12
41_1,12
41_2,8
41_3,4
41_4,11
41_5,3
41_6,5
41_7,1
41_8,0
41_9,0
41_10,3
41_11,4
41_12,2
41_13,2
41_14,1
41_15,0
41_16,0
41_17,0
41_18,0
41_19,0
42_0,17
42_1,15
42_2,16
42_3,13
42_4,0
42_5,13
42_6,1
42_7,6
42_8,10
42_9,8
42_10,9
42_11,7
42_12,0
42_13,1
42_14,4
42_15,4
42_16,1
42_17,1
42_18,1
42_19,0
43_0,9
43_1,4
43_2,7
43_3,15
43_4,5
43_5,7
43_6,2
43_7,3
43_8,11
43_9,6
43_10,8
43_11,7
43_12,6
43_13,1
43_14,0
43_15,1
43_16,0
43_17,1
43_18,1
43_19,0
44_0,13
44_1,16
44_2,16
44_3,5
44_4,8
44_5,14
44_6,6
44_7,8
44_8,1
44_9,2
44_10,7
44_11,4
44_12,6
44_13,3
44_14,0
44_15,2
44_16,2
44_17,2
44_18,1
44_19,0
45_0,18
45_1,17
45_2,5
45_3,1
45_4,15
45_5,5
45_6,5
45_7,5
45_8,8
45_9,5
45_10,6
45_11,5
45_12,6
45_13,0
45_14,0
45_15,0
45_16,0
45_17,0
45_18,0
45_19,0
46_0,11
46_1,6
46_2,6
46_3,2
46_4,7
46_5,11
46_6,8
46_7,2
46_8,9
46_9,7
46_10,9
46_11,8
46_12,5
46_13,4
46_14,3
46_15,1
46_16,2
46_17,1
46_18,1
46_19,0
47_0,14
47_1,14
47_2,15
47_3,4
47_4,12
47_5,11
47_6,4
47_7,1
47_8,3
47_9,5
47_10,6
47_11,3
47_12,2
47_13,0
47_14,0
47_15,0
47_16,2
47_17,0
47_18,1
47_19,0
48_0,19
48_1,0
48_2,7
48_3,15
48_4,2
48_5,14
48_6,5
48_7,2
48_8,2
48_9,10
48_10,8
48_11,8
48_12,4
48_13,5
48_14,4
48_15,0
48_16,1
48_17,0
48_18,0
48_19,0
49_0,14
49_1,15
49_2,5
49_3,4
49_4,5
49_5,1
49_6,12
49_7,0
49_8,3
49_9,1
49_10,9
49_11,7
49_12,0
49_13,3
49_14,1
49_15,3
49_16,1
49_17,0
49_18,1
49_19,0
50_0,0
50_1,0
50_2,15
50_3,15
50_4,7
50_5,4
50_6,11
50_7,6
50_8,11
50_9,10
50_10,8
50_11,8
50_12,6
50_13,2
50_14,5
50_15,0
50_16,0
50_17,2
50_18,1
50_19,0
51_0,6
51_1,0
51_2,1
51_3,15
51_4,1
51_5,13
51_6,5
51_7,1
51_8,3
51_9,7
51_10,0
51_11,8
51_12,5
51_13,4
51_14,1
51_15,0
51_16,2
51_17,0
51_18,0
51_19,0
52_0,9
52_1,8
52_2,17
52_3,12
52_4,15
52_5,5
52_6,4
52_7,4
52_8,10
52_9,1
52_10,0
52_11,0
52_12,7
52_13,1
52_14,4
52_15,4
52_16,1
52_17,0
52_18,1
52_19,0
53_0,18
53_1,10
53_2,8
53_3,11
53_4,11
53_5,12
53_6,1
53_7,9
53_8,8
53_9,3
53_10,0
53_11,2
53_12,3
53_13,2
53_14,4
53_15,2
53_16,3
53_17,2
53_18,1
53_19,0
54_0,6
54_1,13
54_2,15
54_3,12
54_4,10
54_5,13
54_6,0
54_7,7
54_8,10
54_9,9
54_10,2
54_11,5
54_12,2
54_13,1
54_14,0
54_15,4
54_16,0
54_17,1
54_18,0
54_19,0
55_0,10
55_1,4
55_2,15
55_3,9
55_4,6
55_5,14
55_6,0
55_7,1
55_8,4
55_9,5
55_10,7
55_11,6
55_12,7
55_13,5
55_14,1
55_15,3
55_16,1
55_17,2
55_18,1
55_19,0
56_0,13
56_1,12
56_2,16
56_3,16
56_4,10
56_5,2
56_6,0
56_7,6
56_8,2
56_9,10
56_10,8
56_11,8
56_12,3
56_13,3
56_14,1
56_15,0
56_16,1
56_17,1
56_18,1
56_19,0
57_0,0
57_1,18
57_2,16
57_3,13
57_4,3
57_5,3
57_6,10
57_7,8
57_8,8
57_9,7
57_10,6
57_11,3
57_12,4
57_13,3
57_14,0
57_15,2
57_16,0
57_17,0
57_18,0
57_19,0
58_0,16
58_1,6
58_2,2
58_3,7
58_4,0
58_5,2
58_6,5
58_7,11
58_8,8
58_9,9
58_10,9
58_11,6
58_12,4
58_13,0
58_14,0
58_15,2
58_16,2
58_17,2
58_18,0
58_19,0
59_0,16
59_1,15
59_2,2
59_3,16
59_4,10
59_5,10
59_6,13
59_7,12
59_8,4
59_9,3
59_10,7
59_11,7
59_12,6
59_13,3
59_14,4
59_15,1
59_16,0
59_17,1
59_18,0
59_19,0
60_0,1
60_1,0
60_2,13
60_3,6
60_4,6
60_5,13
60_6,8
60_7,12
60_8,8
60_9,5
60_10,3
60_11,3
60_12,4
60_13,3
60_14,3
60_15,0
60_16,3
60_17,0
60_18,0
60_19,0
61_0,6
61_1,1
61_2,6
61_3,11
61_4,9
61_5,9
61_6,8
61_7,4
61_8,5
61_9,6
61_10,7
61_11,6
61_12,6
61_13,0
61_14,0
61_15,0
61_16,2
61_17,1
61_18,0
61_19,0
62_0,0
62_1,6
62_2,5
62_3,5
62_4,3
62_5,13
62_6,8
62_7,7
62_8,7
62_9,10
62_10,9
62_11,8
62_12,7
62_13,4
62_14,4
62_15,4
62_16,1
62_17,2
62_18,1
62_19,0
63_0,3
63_1,15
63_2,0
63_3,9
63_4,11
63_5,10
63_6,5
63_7,4
63_8,6
63_9,7
63_10,8
63_11,4
63_12,6
63_13,6
63_14,4
63_15,0
63_16,3
63_17,1
63_18,0
63_19,0
64_0,1
64_1,0
64_2,0
64_3,2
64_4,2
64_5,13
64_6,9
64_7,10
64_8,3
64_9,7
64_10,7
64_11,2
64_12,5
64_13,5
64_14,2
64_15,0
64_16,1
64_17,0
64_18,1
64_19,0
65_0,13
65_1,14
65_2,3
65_3,16
65_4,14
65_5,5
65_6,11
65_7,5
65_8,3
65_9,5
65_10,9
65_11,8
65_12,5
65_13,6
65_14,0
65_15,1
65_16,1
65_17,2
65_18,1
65_19,0
66_0,13
66_1,18
66_2,13
66_3,12
66_4,12
66_5,14
66_6,6
66_7,12
66_8,3
66_9,2
66_10,0
66_11,1
66_12,1
66_13,0
66_14,2
66_15,0
66_16,0
66_17,2
66_18,1
66_19,0
67_0,10
67_1,18
67_2,2
67_3,16
67_4,8
67_5,10
67_6,11
67_7,9
67_8,11
67_9,3
67_10,1
67_11,1
67_12,2
67_13,2
67_14,3
67_15,4
67_16,2
67_17,1
67_18,1
67_19,0
68_0,0
68_1,6
68_2,6
68_3,3
68_4,12
68_5,14
68_6,9
68_7,8
68_8,3
68_9,4
68_10,8
68_11,8
68_12,4
68_13,0
68_14,0
68_15,3
68_16,1
68_17,1
68_18,0
68_19,0
69_0,18
69_1,10
69_2,14
69_3,13
69_4,13
69_5,13
69_6,10
69_7,8
69_8,8
69_9,0
69_10,1
69_11,7
69_12,3
69_13,1
69_14,3
69_15,3
69_16,3
69_17,2
69_18,0
69_19,0
70_0,10
70_1,5
70_2,10
70_3,2
70_4,0
70_5,11
70_6,13
70_7,1
70_8,10
70_9,7
70_10,8
70_11,7
70_12,3
70_13,2
70_14,4
70_15,1
70_16,0
70_17,2
70_18,1
70_19,0
71_0,19
71_1,11
71_2,3
71_3,2
71_4,2
71_5,2
71_6,3
71_7,0
71_8,0
71_9,10
71_10,7
71_11,7
71_12,1
71_13,0
71_14,4
71_15,0
71_16,0
71_17,0
71_18,0
71_19,0
72_0,0
72_1,0
72_2,13
72_3,14
72_4,15
72_5,5
72_6,4
72_7,5
72_8,10
72_9,10
72_10,8
72_11,7
72_12,6
72_13,5
72_14,0
72_15,3
72_16,3
72_17,1
72_18,1
72_19,0
73_0,1
73_1,14
73_2,11
73_3,13
73_4,11
73_5,10
73_6,12
73_7,12
73_8,6
73_9,6
73_10,7
73_11,1
73_12,4
73_13,6
73_14,0
73_15,3
73_16,0
73_17,0
73_18,0
73_19,0
74_0,14
74_1,8
74_2,8
74_3,13
74_4,11
74_5,11
74_6,10
74_7,7
74_8,10
74_9,0
74_10,9
74_11,6
74_12,2
74_13,0
74_14,0
74_15,3
74_16,0
74_17,0
74_18,0
74_19,0
75_0,2
75_1,2
75_2,17
75_3,15
75_4,15
75_5,11
75_6,10
75_7,9
75_8,8
75_9,6
75_10,7
75_11,7
75_12,7
75_13,6
75_14,5
75_15,0
75_16,3
75_17,1
75_18,1
75_19,0
76_0,15
76_1,13
76_2,10
76_3,11
76_4,4
76_5,3
76_6,2
76_7,11
76_8,8
76_9,10
76_10,8
76_11,6
76_12,4
76_13,1
76_14,3
76_15,1
76_16,1
76_17,2
76_18,1
76_19,0
77_0,17
77_1,3
77_2,0
77_3,0
77_4,11
77_5,8
77_6,9
77_7,8
77_8,8
77_9,6
77_10,1
77_11,3
77_12,4
77_13,1
77_14,3
77_15,1
77_16,0
77_17,1
77_18,1
77_19,0
78_0,12
78_1,10
78_2,10
78_3,12
78_4,5
78_5,7
78_6,8
78_7,11
78_8,11
78_9,10
78_10,3
78_11,0
78_12,1
78_13,0
78_14,2
78_15,1
78_16,3
78_17,0
78_18,0
78_19,0
79_0,5
79_1,16
79_2,15
79_3,15
79_4,8
79_5,8
79_6,10
79_7,5
79_8,0
79_9,6
79_10,9
79_11,7
79_12,5
79_13,5
79_14,3
79_15,4
79_16,0
79_17,0
79_18,0
79_19,0
80_0,3
80_1,17
80_2,16
80_3,4
80_4,4
80_5,11
80_6,10
80_7,0
80_8,0
80_9,10
80_10,8
80_11,4
80_12,4
80_13,0
80_14,4
80_15,0
80_16,3
80_17,0
80_18,1
80_19,0
81_0,4
81_1,11
81_2,9
81_3,3
81_4,0
81_5,11
81_6,4
81_7,5
81_8,11
81_9,10
81_10,8
81_11,6
81_12,6
81_13,5
81_14,3
81_15,3
81_16,2
81_17,1
81_18,0
81_19,0
82_0,6
82_1,9
82_2,8
82_3,1
82_4,9
82_5,7
82_6,10
82_7,2
82_8,10
82_9,2
82_10,2
82_11,6
82_12,0
82_13,0
82_14,3
82_15,4
82_16,3
82_17,0
82_18,1
82_19,0
83_0,0
83_1,2
83_2,7
83_3,6
83_4,12
83_5,6
83_6,12
83_7,11
83_8,6
83_9,8
83_10,8
83_11,8
83_12,6
83_13,0
83_14,5
83_15,0
83_16,0
83_17,0
83_18,0
83_19,0
84_0,2
84_1,2
84_2,11
84_3,12
84_4,11
84_5,11
84_6,2
84_7,12
84_8,6
84_9,3
84_10,4
84_11,6
84_12,4
84_13,1
84_14,1
84_15,2
84_16,1
84_17,1
84_18,1
84_19,0
85_0,14
85_1,11
85_2,15
85_3,8
85_4,12
85_5,13
85_6,6
85_7,12
85_8,11
85_9,6
85_10,9
85_11,8
85_12,6
85_13,6
85_14,5
85_15,2
85_16,2
85_17,1
85_18,0
85_19,0
86_0,9
86_1,7
86_2,7
86_3,13
86_4,11
86_5,1
86_6,1
86_7,12
86_8,10
86_9,7
86_10,7
86_11,3
86_12,7
86_13,0
86_14,4
86_15,4
86_16,0
86_17,0
86_18,1
86_19,0
87_0,2
87_1,18
87_2,16
87_3,16
87_4,9
87_5,14
87_6,13
87_7,3
87_8,10
87_9,2
87_10,5
87_11,6
87_12,2
87_13,2
87_14,1
87_15,3
87_16,1
87_17,1
87_18,1
87_19,0
88_0,5
88_1,13
88_2,17
88_3,15
88_4,13
88_5,7
88_6,13
88_7,7
88_8,8
88_9,9
88_10,9
88_11,6
88_12,4
88_13,0
88_14,0
88_15,0
88_16,3
88_17,0
88_18,0
88_19,0
89_0,1
89_1,18
89_2,6
89_3,13
89_4,13
89_5,8
89_6,3
89_7,10
89_8,11
89_9,7
89_10,7
89_11,8
89_12,0
89_13,2
89_14,0
89_15,0
89_16,0
89_17,2
89_18,0
89_19,0
90_0,0
90_1,14
90_2,13
90_3,10
90_4,15
90_5,3
90_6,8
90_7,6
90_8,6
90_9,10
90_10,8
90_11,3
90_12,2
90_13,2
90_14,5
90_15,3
90_16,2
90_17,0
90_18,0
90_19,0
91_0,18
91_1,0
91_2,15
91_3,0
91_4,13
91_5,14
91_6,10
91_7,12
91_8,7
91_9,5
91_10,3
91_11,0
91_12,3
91_13,3
91_14,3
91_15,0
91_16,0
91_17,2
91_18,0
91_19,0
92_0,6
92_1,10
92_2,16
92_3,2
92_4,1
92_5,14
92_6,3
92_7,11
92_8,10
92_9,5
92_10,9
92_11,5
92_12,4
92_13,0
92_14,2
92_15,0
92_16,0
92_17,1
92_18,1
92_19,0
93_0,0
93_1,7
93_2,0
93_3,15
93_4,14
93_5,5
93_6,4
93_7,8
93_8,11
93_9,7
93_10,2
93_11,1
93_12,2
93_13,4
93_14,2
93_15,3
93_16,2
93_17,0
93_18,1
93_19,0
94_0,14
94_1,2
94_2,14
94_3,2
94_4,15
94_5,13
94_6,13
94_7,3
94_8,0
94_9,4
94_10,6
94_11,3
94_12,6
94_13,5
94_14,5
94_15,3
94_16,0
94_17,2
94_18,0
94_19,0
95_0,3
95_1,0
95_2,8
95_3,9
95_4,4
95_5,14
95_6,12
95_7,9
95_8,8
95_9,5
95_10,5
95_11,8
95_12,4
95_13,6
95_14,0
95_15,3
95_16,0
95_17,0
95_18,1
95_19,0
96_0,19
96_1,18
96_2,15
96_3,5
96_4,1
96_5,2
96_6,8
96_7,0
96_8,9
96_9,7
96_10,6
96_11,8
96_12,4
96_13,0
96_14,0
96_15,1
96_16,0
96_17,1
96_18,0
96_19,0
97_0,19
97_1,0
97_2,0
97_3,7
97_4,15
97_5,13
97_6,4
97_7,9
97_8,10
97_9,3
97_10,0
97_11,7
97_12,0
97_13,0
97_14,2
97_15,3
97_16,3
97_17,0
97_18,0
97_19,0
98_0,14
98_1,13
98_2,3
98_3,10
98_4,8
98_5,11
98_6,1
98_7,1
98_8,11
98_9,10
98_10,6
98_11,4
98_12,3
98_13,0
98_14,5
98_15,1
98_16,3
98_17,0
98_18,1
98_19,0
99_0,17
99_1,18
99_2,8
99_3,14
99_4,13
99_5,8
99_6,6
99_7,11
99_8,4
99_9,6
99_10,4
99_11,7
99_12,3
99_13,3
99_14,1
99_15,0
99_16,1
99_17,0
99_18,0
99_19,0
100_0,2
100_1,2
100_2,0
100_3,2
100_4,10
100_5,5
100_6,7
100_7,8
100_8,8
100_9,10
100_10,4
100_11,3
100_12,3
100_13,5
100_14,0
100_15,2
100_16,0
100_17,0
100_18,1
100_19,0
101_0,7
101_1,13
101_2,13
101_3,9
101_4,7
101_5,7
101_6,12
101_7,12
101_8,6
101_9,5
101_10,3
101_11,8
101_12,6
101_13,0
101_14,0
101_15,4
101_16,0
101_17,1
101_18,0
101_19,0
102_0,3
102_1,0
102_2,16
102_3,10
102_4,9
102_5,9
102_6,2
102_7,2
102_8,5
102_9,9
102_10,7
102_11,8
102_12,7
102_13,5
102_14,5
102_15,2
102_16,0
102_17,1
102_18,1
102_19,0
103_0,19
103_1,6
103_2,5
103_3,16
103_4,15
103_5,0
103_6,3
103_7,2
103_8,9
103_9,6
103_10,1
103_11,7
103_12,7
103_13,0
103_14,0
103_15,1
103_16,2
103_17,1
103_18,1
103_19,0
104_0,16
104_1,18
104_2,2
104_3,0
104_4,5
104_5,13
104_6,0
104_7,3
104_8,3
104_9,5
104_10,9
104_11,6
104_12,1
104_13,0
104_14,1
104_15,2
104_16,3
104_17,1
104_18,0
104_19,0
105_0,2
105_1,2
105_2,16
105_3,14
105_4,15
105_5,14
105_6,13
105_7,4
105_8,10
105_9,9
105_10,6
105_11,5
105_12,0
105_13,0
105_14,5
105_15,4
105_16,3
105_17,2
105_18,0
105_19,0
106_0,3
106_1,3
106_2,2
106_3,16
106_4,10
106_5,7
106_6,12
106_7,12
106_8,7
106_9,7
106_10,8
106_11,2
106_12,3
106_13,4
106_14,0
106_15,0
106_16,0
106_17,0
106_18,1
106_19,0
107_0,11
107_1,17
107_2,6
107_3,16
107_4,15
107_5,8
107_6,3
107_7,0
107_8,6
107_9,7
107_10,1
107_11,8
107_12,5
107_13,5
107_14,0
107_15,1
107_16,1
107_17,2
107_18,1
107_19,0
108_0,7
108_1,5
108_2,9
108_3,4
108_4,14
108_5,2
108_6,7
108_7,7
108_8,6
108_9,2
108_10,7
108_11,5
108_12,7
108_13,1
108_14,3
108_15,4
108_16,2
108_17,1
108_18,1
108_19,0
109_0,15
109_1,12
109_2,17
109_3,10
109_4,10
109_5,12
109_6,10
109_7,11
109_8,9
109_9,9
109_10,4
109_11,2
109_12,7
109_13,5
109_14,2
109_15,0
109_16,1
109_17,2
109_18,0
109_19,0
110_0,17
110_1,18
110_2,16
110_3,15
110_4,13
110_5,7
110_6,0
110_7,3
110_8,3
110_9,5
110_10,0
110_11,0
110_12,0
110_13,5
110_14,0
110_15,1
110_16,0
110_17,0
110_18,0
110_19,0
111_0,15
111_1,16
111_2,6
111_3,6
111_4,8
111_5,2
111_6,4
111_7,0
111_8,7
111_9,3
111_10,8
111_11,6
111_12,0
111_13,5
111_14,2
111_15,2
111_16,0
111_17,0
111_18,0
111_19,0
112_0,3
112_1,0
112_2,15
112_3,16
112_4,2
112_5,5
112_6,6
112_7,2
112_8,9
112_9,6
112_10,7
112_11,5
112_12,3
112_13,4
112_14,0
112_15,0
112_16,2
112_17,2
112_18,1
112_19,0
113_0,18
113_1,18
113_2,16
113_3,4
113_4,2
113_5,13
113_6,13
113_7,5
113_8,3
113_9,8
113_10,6
113_11,6
113_12,4
113_13,1
113_14,0
113_15,2
113_16,0
113_17,0
113_18,0
113_19,0
114_0,7
114_1,18
114_2,17
114_3,13
114_4,13
114_5,13
114_6,11
114_7,11
114_8,4
114_9,4
114_10,2
114_11,2
114_12,7
114_13,6
114_14,0
114_15,0
114_16,1
114_17,1
114_18,1
114_19,0
115_0,8
115_1,3
115_2,3
115_3,15
115_4,15
115_5,10
115_6,12
115_7,0
115_8,1
115_9,6
115_10,0
115_11,1
115_12,1
115_13,5
115_14,0
115_15,3
115_16,0
115_17,0
115_18,0
115_19,0
116_0,0
116_1,5
116_2,16
116_3,14
116_4,14
116_5,0
116_6,13
116_7,2
116_8,1
116_9,10
